r,t,f,y,UseByTechnologyAnnual
REGION1,DEMCOMBIO,BIO,2025,0.0319
REGION1,DEMCOMBIO,BIO,2026,0.0339
REGION1,DEMCOMBIO,BIO,2027,0.0358
REGION1,DEMCOMBIO,BIO,2028,0.0378
REGION1,DEMCOMBIO,BIO,2029,0.0397
REGION1,DEMCOMBIO,BIO,2030,0.0415
REGION1,DEMCOMCOA,COA,2016,0.2157
REGION1,DEMCOMCOA,COA,2017,0.2315
REGION1,DEMCOMCOA,COA,2018,0.2473
REGION1,DEMCOMCOA,COA,2019,0.263
REGION1,DEMCOMCOA,COA,2020,0.2889
REGION1,DEMCOMCOA,COA,2021,0.3147
REGION1,DEMCOMCOA,COA,2022,0.3407
REGION1,DEMCOMCOA,COA,2023,0.3664
REGION1,DEMCOMCOA,COA,2024,0.3922
REGION1,DEMCOMCOA,COA,2025,0.4182
REGION1,DEMCOMCOA,COA,2026,0.444
REGION1,DEMCOMCOA,COA,2027,0.4697
REGION1,DEMCOMCOA,COA,2028,0.4955
REGION1,DEMCOMCOA,COA,2029,0.5215
REGION1,DEMCOMCOA,COA,2030,0.544
REGION1,DEMCOMDSL,DSL,2016,2.1699
REGION1,DEMCOMDSL,DSL,2017,2.3285
REGION1,DEMCOMDSL,DSL,2018,2.4871
REGION1,DEMCOMDSL,DSL,2019,2.6456
REGION1,DEMCOMDSL,DSL,2020,2.9058
REGION1,DEMCOMDSL,DSL,2021,3.1658
REGION1,DEMCOMDSL,DSL,2022,3.4259
REGION1,DEMCOMDSL,DSL,2023,3.6858
REGION1,DEMCOMDSL,DSL,2024,3.9456
REGION1,DEMCOMDSL,DSL,2025,4.2054
REGION1,DEMCOMDSL,DSL,2026,4.4652
REGION1,DEMCOMDSL,DSL,2027,4.725
REGION1,DEMCOMDSL,DSL,2028,4.9846
REGION1,DEMCOMDSL,DSL,2029,5.2443
REGION1,DEMCOMDSL,DSL,2030,5.4714
REGION1,DEMCOMELCC02,ELCC02,2016,0.6283
REGION1,DEMCOMELCC02,ELCC02,2017,0.6537
REGION1,DEMCOMELCC02,ELCC02,2018,0.6786
REGION1,DEMCOMELCC02,ELCC02,2019,0.7028
REGION1,DEMCOMELCC02,ELCC02,2020,0.7386
REGION1,DEMCOMELCC02,ELCC02,2021,0.773
REGION1,DEMCOMELCC02,ELCC02,2022,0.806
REGION1,DEMCOMELCC02,ELCC02,2023,0.838
REGION1,DEMCOMELCC02,ELCC02,2024,0.869
REGION1,DEMCOMELCC02,ELCC02,2025,0.8991
REGION1,DEMCOMELCC02,ELCC02,2026,0.9284
REGION1,DEMCOMELCC02,ELCC02,2027,0.957
REGION1,DEMCOMELCC02,ELCC02,2028,0.9849
REGION1,DEMCOMELCC02,ELCC02,2029,1.0122
REGION1,DEMCOMELCC02,ELCC02,2030,1.0344
REGION1,DEMCOMELCN02,ELCN02,2016,2.7763
REGION1,DEMCOMELCN02,ELCN02,2017,2.8888
REGION1,DEMCOMELCN02,ELCN02,2018,2.9985
REGION1,DEMCOMELCN02,ELCN02,2019,3.1058
REGION1,DEMCOMELCN02,ELCN02,2020,3.2639
REGION1,DEMCOMELCN02,ELCN02,2021,3.4156
REGION1,DEMCOMELCN02,ELCN02,2022,3.5618
REGION1,DEMCOMELCN02,ELCN02,2023,3.703
REGION1,DEMCOMELCN02,ELCN02,2024,3.8399
REGION1,DEMCOMELCN02,ELCN02,2025,3.973
REGION1,DEMCOMELCN02,ELCN02,2026,4.1025
REGION1,DEMCOMELCN02,ELCN02,2027,4.2287
REGION1,DEMCOMELCN02,ELCN02,2028,4.3521
REGION1,DEMCOMELCN02,ELCN02,2029,4.4728
REGION1,DEMCOMELCN02,ELCN02,2030,4.5708
REGION1,DEMCOMELCS02,ELCS02,2016,3.3961
REGION1,DEMCOMELCS02,ELCS02,2017,3.5337
REGION1,DEMCOMELCS02,ELCS02,2018,3.6679
REGION1,DEMCOMELCS02,ELCS02,2019,3.7991
REGION1,DEMCOMELCS02,ELCS02,2020,3.9925
REGION1,DEMCOMELCS02,ELCS02,2021,4.1781
REGION1,DEMCOMELCS02,ELCS02,2022,4.3569
REGION1,DEMCOMELCS02,ELCS02,2023,4.5297
REGION1,DEMCOMELCS02,ELCS02,2024,4.6972
REGION1,DEMCOMELCS02,ELCS02,2025,4.8599
REGION1,DEMCOMELCS02,ELCS02,2026,5.0183
REGION1,DEMCOMELCS02,ELCS02,2027,5.1728
REGION1,DEMCOMELCS02,ELCS02,2028,5.3237
REGION1,DEMCOMELCS02,ELCS02,2029,5.4714
REGION1,DEMCOMELCS02,ELCS02,2030,5.5912
REGION1,DEMCOMKER,KER,2016,0.0436
REGION1,DEMCOMKER,KER,2017,0.0469
REGION1,DEMCOMKER,KER,2018,0.0501
REGION1,DEMCOMKER,KER,2019,0.0532
REGION1,DEMCOMKER,KER,2020,0.0584
REGION1,DEMCOMKER,KER,2021,0.0637
REGION1,DEMCOMKER,KER,2022,0.0689
REGION1,DEMCOMKER,KER,2023,0.0741
REGION1,DEMCOMKER,KER,2024,0.0794
REGION1,DEMCOMKER,KER,2025,0.0846
REGION1,DEMCOMKER,KER,2026,0.0898
REGION1,DEMCOMKER,KER,2027,0.0951
REGION1,DEMCOMKER,KER,2028,0.1003
REGION1,DEMCOMKER,KER,2029,0.1055
REGION1,DEMCOMKER,KER,2030,0.1101
REGION1,DEMCOMLPG,LPG,2016,3.2533
REGION1,DEMCOMLPG,LPG,2017,3.4912
REGION1,DEMCOMLPG,LPG,2018,3.7289
REGION1,DEMCOMLPG,LPG,2019,3.9665
REGION1,DEMCOMLPG,LPG,2020,4.3565
REGION1,DEMCOMLPG,LPG,2021,4.7464
REGION1,DEMCOMLPG,LPG,2022,5.1363
REGION1,DEMCOMLPG,LPG,2023,5.5259
REGION1,DEMCOMLPG,LPG,2024,5.9155
REGION1,DEMCOMLPG,LPG,2025,6.305
REGION1,DEMCOMLPG,LPG,2026,6.6945
REGION1,DEMCOMLPG,LPG,2027,7.0839
REGION1,DEMCOMLPG,LPG,2028,7.4733
REGION1,DEMCOMLPG,LPG,2029,7.8625
REGION1,DEMCOMLPG,LPG,2030,8.203
REGION1,DEMINDBIO,BIO,2016,14.3747
REGION1,DEMINDBIO,BIO,2017,15.4257
