r,t,l,y,RateOfTotalActivity
REGION1,DEMAGRSURNOC,SEA1BAS,2018,1.9701
REGION1,DEMAGRSURNOC,SEA1BAS,2019,2.1046
REGION1,DEMAGRSURNOC,SEA1BAS,2020,2.2463
REGION1,DEMAGRSURNOC,SEA1BAS,2021,2.3601
REGION1,DEMAGRSURNOC,SEA1BAS,2022,3.4287
REGION1,DEMAGRSURNOC,SEA1BAS,2023,2.6279
REGION1,DEMAGRSURNOC,SEA1BAS,2024,2.7745
REGION1,DEMAGRSURNOC,SEA1BAS,2025,2.8985
REGION1,DEMAGRSURNOC,SEA1BAS,2026,4.4982
REGION1,DEMAGRSURNOC,SEA1BAS,2027,3.0992
REGION1,DEMAGRSURNOC,SEA1BAS,2028,3.17
REGION1,DEMAGRSURNOC,SEA1BAS,2029,4.9705
REGION1,DEMAGRSURNOC,SEA1BAS,2030,3.2538
REGION1,DEMAGRSURNOC,SEA1INT,2016,1.8088
REGION1,DEMAGRSURNOC,SEA1INT,2017,1.9151
REGION1,DEMAGRSURNOC,SEA1INT,2018,2.3109
REGION1,DEMAGRSURNOC,SEA1INT,2019,2.1046
REGION1,DEMAGRSURNOC,SEA1INT,2020,2.9687
REGION1,DEMAGRSURNOC,SEA1INT,2021,3.1909
REGION1,DEMAGRSURNOC,SEA1INT,2022,2.4733
REGION1,DEMAGRSURNOC,SEA1INT,2023,3.0476
REGION1,DEMAGRSURNOC,SEA1INT,2024,2.7745
REGION1,DEMAGRSURNOC,SEA1INT,2025,4.2672
REGION1,DEMAGRSURNOC,SEA1INT,2026,3.9197
REGION1,DEMAGRSURNOC,SEA1INT,2027,4.1775
REGION1,DEMAGRSURNOC,SEA1INT,2028,3.17
REGION1,DEMAGRSURNOC,SEA1INT,2029,4.8516
