row number,col number,cluster_unique
17,9,NOWC02
17,10,NOWC02
17,11,NOWC02
17,12,NOWC02
17,13,NOWC02
17,14,NOWC02
17,15,NOWC02
17,16,NOWC02
17,17,NOWC01
17,18,NOWC02
17,19,NOWC02
17,20,NOWC01
17,21,NOWC02
17,22,NOWC02
17,23,NOWC02
17,24,NOWC02
17,25,NOWC02
17,26,NOWC01
17,27,NOWC02
17,28,NOWC01
17,29,NOWC01
17,30,NOWC01
17,31,NOWC02
17,32,NOWC01
17,33,NOWC01
17,34,NOWC01
18,7,NOWC02
18,8,NOWC02
18,9,NOWC02
18,10,NOWC02
18,11,NOWC02
18,12,NOWC02
18,13,NOWC02
18,14,NOWC02
18,15,NOWC02
18,16,NOWC02
18,17,NOWC01
18,18,NOWC02
18,19,NOWC02
18,20,NOWC02
18,21,NOWC02
18,22,NOWC02
18,23,NOWC02
18,24,NOWC02
18,25,NOWC02
18,26,NOWC02
18,27,NOWC02
18,28,NOWC01
18,29,NOWC02
18,30,NOWC01
18,31,NOWC01
18,32,NOWC01
18,33,NOWC01
18,34,NOWC01
18,35,NOWC01
19,7,NOWC02
19,8,NOWC02
19,9,NOWC02
19,10,NOWC02
19,11,NOWC02
19,12,NOWC02
19,13,NOWC02
19,14,NOWC02
19,15,NOWC02
19,16,NOWC02
19,17,NOWC02
19,18,NOWC02
19,19,NOWC02
19,20,NOWC02
19,21,NOWC02
19,22,NOWC02
19,23,NOWC02
19,24,NOWC02
19,25,NOWC01
19,26,NOWC02
19,27,NOWC02
19,28,NOWC02
19,29,NOWC02
19,30,NOWC01
19,31,NOWC01
19,32,NOWC01
19,33,NOWC01
19,34,NOWC01
19,35,NOWC01
20,7,NOWC02
20,8,NOWC02
20,10,NOWC02
20,11,NOWC02
20,12,NOWC02
20,13,NOWC02
20,14,NOWC02
20,15,NOWC02
20,16,NOWC02
20,17,NOWC02
20,18,NOWC01
20,19,NOWC02
20,20,NOWC02
20,21,NOWC02
20,22,NOWC02
20,23,NOWC02
20,24,NOWC02
20,25,NOWC02
20,26,NOWC02
20,27,NOWC02
20,28,NOWC02
20,29,NOWC02
20,30,NOWC02
20,31,NOWC02
20,32,NOWC01
20,33,NOWC01
20,34,NOWC01
20,35,NOWC01
20,36,NOWC01
