cluster,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
11,0.7787555555555555,0.7532000000000001,0.7644444444444445,0.747,0.7069333333333333,0.0,0.0,0.0,0.0,0.0,0.6289777777777777,0.6109555555555555,0.6292666666666666,0.6113999999999999,0.5788444444444444,1.0966222222222222,1.0609777777777778,1.0717333333333334,1.0486888888888888,0.9957999999999999,0.5615777777777777,0.5438444444444445,0.5621555555555555,0.5443555555555556,0.5119333333333334,0.6983555555555556,0.6771555555555555,0.6771333333333334,0.6591555555555556,0.6267333333333334,0.37801269841269847,0.3547587301587301,0.3690952380952381,0.34871428571428564,0.32736190476190474
12,0.7580743801652893,0.7306446280991736,0.7525619834710744,0.7302479338842974,0.6822314049586776,0.0,0.0,0.0,0.0,0.0,0.6183471074380166,0.5991652892561983,0.6186859504132232,0.5994132231404959,0.5641983471074381,1.065809917355372,1.0275867768595042,1.0545371900826446,1.0258181818181817,0.9351404958677686,0.5797603305785124,0.5612727272727273,0.5799917355371901,0.5614545454545455,0.527702479338843,0.6997603305785124,0.6773553719008264,0.6690165289256198,0.6493223140495868,0.61400826446281,0.47800236127508855,0.4548512396694214,0.4711062573789848,0.45030224321133405,0.42152184179456914
13,0.760875,0.734,0.7567708333333334,0.7338958333333334,0.68625,0.0,0.0,0.0,0.0,0.0,0.616,0.5970625,0.6164166666666666,0.5974166666666666,0.5629166666666666,1.0659166666666668,1.0284375,1.0558333333333332,1.0266458333333333,0.941125,0.5762916666666666,0.558125,0.5765833333333333,0.5583958333333334,0.5253541666666667,0.69675,0.6747083333333334,0.6646666666666666,0.6461666666666667,0.6116666666666666,0.47568154761904763,0.45254464285714296,0.46901488095238103,0.4480386904761904,0.42141666666666655
14,0.7373658536585366,0.7102439024390244,0.7372926829268293,0.7108780487804878,0.6626341463414634,0.0,0.0,0.0,0.0,0.0,0.5756585365853658,0.5570731707317074,0.5759512195121952,0.5574878048780488,0.5240243902439025,1.0287317073170732,0.9912926829268293,1.027121951219512,0.9916341463414634,0.8424634146341464,0.5599756097560976,0.5421219512195122,0.5602439024390244,0.5423170731707317,0.5097804878048781,0.6690487804878048,0.6470975609756098,0.64,0.6216585365853659,0.5862926829268292,0.48564808362369327,0.46637282229965155,0.48100348432055745,0.463637630662021,0.43293031358885015
15,0.9487118644067797,0.9127457627118644,0.5887457627118644,0.5836440677966103,0.5655762711864406,1.1163050847457627,1.074,0.6728135593220339,0.6660677966101695,0.6434237288135594,0.5138983050847458,0.49474576271186443,0.4468305084745763,0.4308474576271187,0.4022881355932203,1.3225254237288135,1.272406779661017,0.6830677966101695,0.6807796610169492,0.6758305084745763,0.6209152542372881,0.597813559322034,0.5530508474576271,0.533135593220339,0.49745762711864405,0.7469661016949152,0.7187627118644068,0.6322203389830509,0.6089661016949152,0.5673050847457627,0.6601961259079905,0.6343946731234865,0.43920338983050844,0.42976271186440695,0.4113099273607748
16,0.9426896551724139,0.9064022988505748,0.6004137931034482,0.592,0.5718620689655172,1.1091494252873564,1.0665977011494254,0.6860344827586207,0.6753333333333333,0.6503333333333333,0.5124827586206897,0.493,0.4467011494252874,0.43073563218390803,0.40213793103448275,1.3141494252873562,1.263655172413793,0.7003793103448276,0.698735632183908,0.6933218390804597,0.6152528735632183,0.5922528735632183,0.556080459770115,0.5360229885057471,0.4998735632183908,0.7439770114942529,0.7155402298850574,0.6278505747126437,0.6045287356321839,0.5625057471264368,0.6535960591133004,0.6277093596059106,0.4433645320197044,0.4334417077175698,0.4145812807881773
17,0.9380128205128205,0.9020641025641025,0.683025641025641,0.6779102564102565,0.6630769230769231,1.1037307692307692,1.061525641025641,0.7274615384615385,0.7237564102564102,0.7097564102564102,0.4831410256410256,0.4637564102564103,0.45784615384615385,0.44498717948717953,0.4236666666666667,1.312705128205128,1.2623589743589743,0.7757435897435897,0.7926410256410257,0.8095512820512821,0.5990641025641026,0.576025641025641,0.5349358974358974,0.5137948717948718,0.47923076923076924,0.703525641025641,0.6754358974358975,0.5172307692307693,0.5073205128205128,0.48555128205128206,0.6457087912087912,0.6198534798534796,0.4610732600732602,0.4557857142857144,0.44269597069597083
18,0.9324117647058823,0.8975882352941177,0.5635882352941177,0.5626470588235294,0.556,1.0972941176470588,1.0562352941176472,0.6445882352941177,0.6425294117647059,0.6333529411764706,0.49676470588235294,0.47870588235294115,0.44876470588235295,0.4330588235294118,0.405,1.3015882352941175,1.2528823529411766,0.6544117647058824,0.6545882352941177,0.6520588235294117,0.6038823529411764,0.581764705882353,0.5453529411764706,0.5261764705882352,0.49170588235294116,0.7250588235294118,0.6978823529411765,0.6270588235294117,0.6045882352941176,0.5645882352941177,0.636941176470588,0.6121932773109243,0.41931092436974793,0.4111008403361345,0.3950840336134454
19,0.9287000000000001,0.8937999999999999,0.6277999999999999,0.6187,0.598825,1.092675,1.051675,0.7139249999999999,0.7029,0.6785249999999999,0.49219999999999997,0.473625,0.45489999999999997,0.439125,0.410825,1.296975,1.248225,0.7534500000000001,0.751775,0.7455499999999999,0.59915,0.577075,0.5562,0.53665,0.501475,0.7185499999999999,0.691375,0.6268250000000001,0.605075,0.565425,0.6446785714285713,0.6195000000000003,0.4556928571428572,0.44578571428571423,0.4267535714285715
20,0.905110655737705,0.8682295081967213,0.6506762295081967,0.6377786885245902,0.61375,1.065045081967213,1.021549180327869,0.7383073770491804,0.7226188524590164,0.6936270491803278,0.4861352459016393,0.46602049180327865,0.446,0.4295983606557377,0.4005163934426229,1.2634139344262296,1.211688524590164,0.818811475409836,0.8126926229508197,0.7982418032786885,0.5907377049180328,0.5666926229508197,0.5516475409836065,0.530811475409836,0.49355737704918035,0.7049180327868851,0.6755901639344262,0.6172459016393443,0.5935,0.5512213114754099,0.5870632318501173,0.5626305620608898,0.44223302107728313,0.43134016393442587,0.4105901639344263
